City,District,OBJECTID,REPORTYEAR,REPORTDATE,ADDRESS,ReportNumber,PropertyStatus,PropValue,Serial,Disposition,CallNumber,x,y
BOULDER,District 3C,5191,2020,2020-09-14,11XX UNIVERSITY,2075765,STOLEN,9999.95,No,Online Report - No Call Disposition,Online Report - No Call Number,3062206.86530901,1246632.78787832
BOULDER,District 4,5192,2020,2020-09-14,8XX 28TH,2075768,STOLEN,450,No,Online Report - No Call Disposition,Online Report - No Call Number,3067923.86441278,1243883.78840469
BOULDER,District 3C,5193,2020,2020-09-14,21XX BASELINE,2075769,STOLEN,500,No,Online Report - No Call Disposition,Online Report - No Call Number,3065782.02176,1243039.17972172
BOULDER,District 5,5194,2020,2020-09-14,5XX 27TH,2075771,STOLEN,1000,No,Online Report - No Call Disposition,Online Report - No Call Number,3067093.52550124,1242269.56336948
BOULDER,District 4,5195,2020,2020-09-14,32XX BASELINE RD,2075772,STOLEN,1200,No,Online Report - No Call Disposition,Online Report - No Call Number,3069931.83406589,1242905.26852937
BOULDER,District 3,5196,2020,2020-09-14,8XX 28TH ST,2075777,STOLEN,500,No,Online Report - No Call Disposition,Online Report - No Call Number,3067659.78025864,1243914.66316638
BOULDER,District 4,5197,2020,2020-09-14,41XX GILPIN,2075778,STOLEN,6100,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3072252.3638269,1243262.03847458
BOULDER,District 3,5198,2020,2020-09-14,26XX CANYON BLVD,2075779,STOLEN,1000,No,Online Report - No Call Disposition,Online Report - No Call Number,3067114.14871508,1249325.19604042
BOULDER,District 2,5199,2020,2020-09-14,16XX 29TH,2075781,STOLEN,4500,No,Online Report - No Call Disposition,Online Report - No Call Number,3068623.43063405,1248663.76940778
BOULDER,District 3,5200,2020,2020-09-14,25XX ARAPAHOE,2075784,STOLEN,280,No,Online Report - No Call Disposition,Online Report - No Call Number,3066609.47401007,1248945.3334426
BOULDER,District 3,5201,2020,2020-09-15,VALID ADDRESS UNAVAILABLE,2075791,STOLEN,1200,No,Online Report - No Call Disposition,Online Report - No Call Number
BOULDER,District 2,5202,2020,2020-09-15,53XX GUNBARREL CENTER CT,2075794,STOLEN,1500,No,Online Report - No Call Disposition,Online Report - No Call Number,3084128.59195449,1269016.13755555
BOULDER,District 3C,5203,2020,2020-09-15,21XX BASELINE,2075801,STOLEN,400,Yes,Online Report - No Call Disposition,Online Report - No Call Number,3065782.02176,1243039.17972172
BOULDER,District 2,5204,2020,2020-09-15,29XX EAGLE,2008839,RECOVERED,200,Yes,CB-Clear,BPD200915-070955,3068874.11421853,1254148.78679379
BOULDER,District 5,5205,2020,2020-09-16,3XX BROADWAY,2075816,STOLEN,1500,No,Online Report - No Call Disposition,Online Report - No Call Number,3067013.03585168,1241400.46236507
BOULDER,District 4,5206,2020,2020-09-16,9XX 28TH,2075823,STOLEN,5000,No,Online Report - No Call Disposition,Online Report - No Call Number,3067923.36454171,1244984.91340889
BOULDER,District 3C,5207,2020,2020-09-16,8XX MARINE,2075827,STOLEN,3422,No,Online Report - No Call Disposition,Online Report - No Call Number,3060547.61530899,1247340.53766849
